Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
3144;79069001;GENODEF1WED;Raiffeisenbank Volkacher Mainschleife-Wiesentheid eG;Wiesentheid;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3145;79069031;GENODEF1BHD;Raiffeisenbank B�tthard-Gauk�nigshofen;B�tthard;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3146;79069150;GENODEF1GEM;Raiffeisenbank Karlstadt-Gem�nden;Karlstadt, Main;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3147;79069165;GENODEF1MLV;Volksbank Raiffeisenbank Rh�n-Grabfeld eG;Mellrichstadt;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3148;79069188;GENODEF1SLZ;Raiffeisenbank Obere�feld-R�mhild;Sulzdorf a.d.Lederhecke;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3149;79069213;GENODEF1RNM;Raiffeisenbank eG;Rannungen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;09.10.2023
3150;79070016;DEUTDEMM790;Deutsche Bank;W�rzburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3151;79070016;DEUTDEMM790;Deutsche Bank;Schweinfurt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3152;79070016;DEUTDEMM790;Deutsche Bank;Bad Mergentheim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3153;79070024;DEUTDEDB790;Deutsche Bank Privat und Gesch�ftskunden;W�rzburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3154;79070024;DEUTDEDB790;Deutsche Bank Privat und Gesch�ftskunden;Bad Mergentheim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3155;79070024;DEUTDEDB790;Deutsche Bank Privat und Gesch�ftskunden;Schweinfurt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3156;79090000;GENODEF1WU1;Volksbank Raiffeisenbank;W�rzburg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3157;79190000;GENODEF1KT1;VR Bank Kitzingen;Kitzingen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3158;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Schweinfurt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3159;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Bad Kissingen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3160;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Bad Br�ckenau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3161;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Hofheim i.UFr.;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3162;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Bad K�nigshofen i. Grabfeld;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3163;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Gerolzhofen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3164;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Mellrichstadt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3165;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;M�nnerstadt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3166;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Bad Neustadt a.d.Saale;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3167;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Ha�furt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3168;79320075;HYVEDEMM451;UniCredit Bank - HypoVereinsbank AG;Fulda;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3169;79330111;FLESDEMMXXX;Bankhaus Max Flessa KG (Flessabank);Ebern ;Atruvia AG;BdB;fints2.atruvia.de;;3.0;;;;;;;;;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3170;79340054;COBADEFFXXX;Commerzbank;Schweinfurt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3171;79340054;COBADEFFXXX;Commerzbank;Bad Kissingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3172;79350101;BYLADEM1KSW;Sparkasse Schweinfurt-Ha�berge ;Schweinfurt ;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by7.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3173;79351010;BYLADEM1KIS;Sparkasse Bad Kissingen;Bad Kissingen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by7.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3174;79353090;BYLADEM1NES;Sparkasse Bad Neustadt a. d. Saale;Bad Neustadt ;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by7.s-fints-pt-by.de/fints30;FinTS V3.0;09.02.2022
3175;79362081;GENODEF1GZH;VR-MainBank eG;Gerolzhofen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3176;79363151;GENODEF1HAS;Raiffeisen-Volksbank Ha�berge;Ha�furt;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3177;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Aschaffenburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3178;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Alzenau i.UFr.;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3179;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Obernburg a. Main;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3180;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Kahl a. Main;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3181;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Miltenberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3182;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Goldbach, Unterfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3183;79520070;HYVEDEMM407;UniCredit Bank - HypoVereinsbank AG;Gro�ostheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3184;79540049;COBADEFFXXX;Commerzbank;Aschaffenburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3185;79550000;BYLADEM1ASA;Sparkasse Aschaffenburg Miltenberg;Aschaffenburg-Alzenau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-by7.s-fints-pt-by.de/fints30;FinTS V3.0;05.04.2024
3186;79566545;#NV;Raiffeisenbank;Heimbuchenthal;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3187;79570024;DEUTDEDB795;Deutsche Bank Privat und Gesch�ftskunden;Aschaffenburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3188;79570024;DEUTDEDB795;Deutsche Bank Privat und Gesch�ftskunden;Miltenberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3189;79570051;DEUTDEFF795;Deutsche Bank;Aschaffenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3190;79570051;DEUTDEFF795;Deutsche Bank;Miltenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3191;79665540;GENODEF1EAU;Raiffeisenbank Elsavatal;Eschau, Unterfr;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3192;80020086;HYVEDEMM440;UniCredit Bank - HypoVereinsbank AG;Halle (Saale);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3193;80020086;HYVEDEMM440;UniCredit Bank - HypoVereinsbank AG;Lutherstadt Wittenberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3194;80020086;HYVEDEMM440;UniCredit Bank - HypoVereinsbank AG;K�then (Anhalt);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3195;80020086;HYVEDEMM440;UniCredit Bank - HypoVereinsbank AG;Merseburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3196;80020087;HYVEDEMM462;UniCredit Bank - HypoVereinsbank AG;Dessau-Ro�lau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3197;80020087;HYVEDEMM462;UniCredit Bank - HypoVereinsbank AG;Bitterfeld-Wolfen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;;;;;;;;;;;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;14.10.2024
3198;80040000;COBADEFFXXX;Commerzbank;Halle;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3199;80040000;COBADEFFXXX;Commerzbank;Merseburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3200;80040000;COBADEFFXXX;Commerzbank;Zeitz;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3201;80040000;COBADEFFXXX;Commerzbank;Bernburg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3202;80040000;COBADEFFXXX;Commerzbank;Naumburg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3203;80040000;COBADEFFXXX;Commerzbank;K�then ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3204;80053000;NOLADE21BLK;Sparkasse Burgenlandkreis;Burgenlandkreis;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3205;80053572;NOLADE21DES;Stadtsparkasse Dessau;Dessau;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3206;80053722;NOLADE21BTF;Kreissparkasse Anhalt-Bitterfeld;Bitterfeld;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3207;80053762;NOLADE21HAL;Saalesparkasse;Halle;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3208;80055008;NOLADE21EIL;Sparkasse Mansfeld-S�dharz;Mansfelder Land;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3209;80055500;NOLADE21SES;Salzlandsparkasse;Sta�furt;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3210;80063508;GENODEF1QLB;Raiffeisen-Volksbank Quedlinburg-Aschersleben eG;Quedlinburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3211;80063558;GENODEF1SGH;Volksbank Sangerhausen eG;Sangerhausen ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3212;80063598;GENODEF1WB1;Volksbank Wittenberg eG;Wittenberg ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3213;80063628;GENODEF1KOE;Volksbank K�then eG;K�then ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3214;80063648;GENODEF1NMB;Volks- und Raiffeisenbank Saale-Unstrut eG;Naumburg ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3215;80093574;GENODEF1DS1;Volksbank Dessau-Anhalt eG;Dessau;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3216;80093784;GENODEF1HAL;Volksbank Halle (Saale) eG;Halle ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3217;80550101;NOLADE21WBL;Sparkasse Wittenberg;Wittenberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3218;81040000;COBADEFFXXX;Commerzbank;Magdeburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3219;81040000;COBADEFFXXX;Commerzbank;Aschersleben;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3220;81040000;COBADEFFXXX;Commerzbank;Dessau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3221;81040000;COBADEFFXXX;Commerzbank;Halberstadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3222;81040000;COBADEFFXXX;Commerzbank;Quedlinburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3223;81040000;COBADEFFXXX;Commerzbank;Stendal;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3224;81040000;COBADEFFXXX;Commerzbank;Wernigerode;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3225;81040000;COBADEFFXXX;Commerzbank;Wittenberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3226;81040000;COBADEFFXXX;Commerzbank;Burg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3227;81040000;COBADEFFXXX;Commerzbank;Sch�nebeck;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;ja;ja;https://fints.commerzbank.de/fints;FinTS V3.0;27.02.2024
3228;81050555;NOLADE21SDL;Kreissparkasse Stendal;Stendal;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3229;81052000;NOLADE21HRZ;Harzsparkasse;Wernigerode;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3230;81053272;NOLADE21MDG;Sparkasse MagdeBurg;Magdeburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3231;81055000;NOLADE21HDL;Kreissparkasse B�rde;Haldensleben;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3232;81055555;NOLADE21SAW;Sparkasse Altmark-West;Salzwedel;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-st5.s-fints-pt-st.de/fints30;FinTS V3.0;09.02.2022
3233;81063028;GENODEF1KAB;Raiffeisenbank Kalbe-Bismark eG;Kalbe-Bismark ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3234;81063238;GENODEF1BRG;Volks- und Raiffeisenbank Burg eG;Burg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3235;81069052;GENODEF1WZL;Volksbank B�rde-Bernburg eG;Bernburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
3236;81070000;DEUTDE8M825;Deutsche Bank;Magdeburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3237;81070000;DEUTDE8M825;Deutsche Bank;Burg b Magdeburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3238;81070000;DEUTDE8M825;Deutsche Bank;Genthin;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3239;81070000;DEUTDE8M825;Deutsche Bank;Halberstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3240;81070000;DEUTDE8M825;Deutsche Bank;Sch�nebeck (Elbe);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3241;81070000;DEUTDE8M825;Deutsche Bank;Oschersleben (Bode);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3242;81070000;DEUTDE8M825;Deutsche Bank;Sta�furt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3243;81070000;DEUTDE8M825;Deutsche Bank;Stendal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3244;81070000;DEUTDE8M825;Deutsche Bank;Wernigerode;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3245;81070000;DEUTDE8M825;Deutsche Bank;Blankenburg (Harz);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3246;81070000;DEUTDE8M825;Deutsche Bank;Haldensleben;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3247;81070000;DEUTDE8M825;Deutsche Bank;Salzwedel, Hansestadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
3248;81070000;DEUTDE8M825;Deutsche Bank;Gardelegen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
